[2026-06-01 16:19:01.753075] Gerçek: 580.28 | Tahmin: 580.28 | MAE Hata: 0.0000
[2026-06-01 16:21:54.243079] Gerçek: 339.36 | Tahmin: 339.36 | MAE Hata: 0.0000
[2026-06-01 16:21:54.533166] Gerçek: 329.37 | Tahmin: 329.37 | MAE Hata: 0.0000
[2026-06-01 16:21:54.831333] Gerçek: 320.99 | Tahmin: 320.99 | MAE Hata: 0.0000
[2026-06-01 16:21:55.113012] Gerçek: 314.82 | Tahmin: 314.82 | MAE Hata: 0.0000
[2026-06-01 16:21:55.402910] Gerçek: 308.50 | Tahmin: 308.50 | MAE Hata: 0.0000
[2026-06-01 16:22:49.812886] Gerçek: 621.40 | Tahmin: 621.40 | MAE Hata: 0.0000
[2026-06-01 16:22:50.119272] Gerçek: 605.22 | Tahmin: 605.22 | MAE Hata: 0.0000
[2026-06-01 16:22:50.409445] Gerçek: 588.72 | Tahmin: 588.72 | MAE Hata: 0.0000
[2026-06-01 16:22:50.713193] Gerçek: 574.10 | Tahmin: 574.10 | MAE Hata: 0.0000
[2026-06-01 16:22:51.001221] Gerçek: 562.78 | Tahmin: 562.78 | MAE Hata: 0.0000
[2026-06-01 16:22:51.317739] Gerçek: 552.20 | Tahmin: 552.20 | MAE Hata: 0.0000
[2026-06-01 16:22:51.623029] Gerçek: 541.74 | Tahmin: 541.74 | MAE Hata: 0.0000
[2026-06-01 16:22:51.942964] Gerçek: 528.01 | Tahmin: 528.01 | MAE Hata: 0.0000
[2026-06-01 16:22:52.272752] Gerçek: 513.39 | Tahmin: 513.39 | MAE Hata: 0.0000
[2026-06-01 16:22:52.554632] Gerçek: 498.75 | Tahmin: 498.75 | MAE Hata: 0.0000
[2026-06-01 16:22:52.859616] Gerçek: 485.94 | Tahmin: 485.94 | MAE Hata: 0.0000
[2026-06-01 16:22:53.125801] Gerçek: 476.10 | Tahmin: 476.10 | MAE Hata: 0.0000
[2026-06-01 16:22:53.413158] Gerçek: 466.76 | Tahmin: 466.76 | MAE Hata: 0.0000
[2026-06-01 16:22:53.697928] Gerçek: 456.24 | Tahmin: 456.24 | MAE Hata: 0.0000
[2026-06-01 16:22:53.983047] Gerçek: 443.90 | Tahmin: 443.90 | MAE Hata: 0.0000
[2026-06-01 16:22:54.267045] Gerçek: 430.99 | Tahmin: 430.99 | MAE Hata: 0.0000
[2026-06-01 16:22:54.549458] Gerçek: 418.37 | Tahmin: 418.37 | MAE Hata: 0.0000
[2026-06-01 16:22:54.834843] Gerçek: 407.49 | Tahmin: 407.49 | MAE Hata: 0.0000
[2026-06-01 16:22:55.117223] Gerçek: 399.25 | Tahmin: 399.25 | MAE Hata: 0.0000
[2026-06-01 16:22:55.427478] Gerçek: 391.23 | Tahmin: 391.23 | MAE Hata: 0.0000
[2026-06-01 16:22:55.703395] Gerçek: 381.96 | Tahmin: 381.96 | MAE Hata: 0.0000
[2026-06-01 16:22:55.969742] Gerçek: 372.52 | Tahmin: 372.52 | MAE Hata: 0.0000
[2026-06-01 16:22:56.255639] Gerçek: 362.87 | Tahmin: 362.87 | MAE Hata: 0.0000
[2026-06-01 16:22:56.548088] Gerçek: 352.16 | Tahmin: 352.16 | MAE Hata: 0.0000
[2026-06-01 16:22:56.841089] Gerçek: 343.11 | Tahmin: 343.11 | MAE Hata: 0.0000
[2026-06-01 16:22:57.123045] Gerçek: 336.38 | Tahmin: 336.38 | MAE Hata: 0.0000
[2026-06-01 16:22:57.404222] Gerçek: 329.60 | Tahmin: 329.60 | MAE Hata: 0.0000
[2026-06-01 16:22:57.682906] Gerçek: 321.50 | Tahmin: 321.50 | MAE Hata: 0.0000
[2026-06-01 16:22:57.962745] Gerçek: 311.92 | Tahmin: 311.92 | MAE Hata: 0.0000
[2026-06-01 16:22:58.250658] Gerçek: 302.35 | Tahmin: 302.35 | MAE Hata: 0.0000
[2026-06-01 16:23:25.707184] Gerçek: 619.32 | Tahmin: 619.32 | MAE Hata: 0.0000
[2026-06-01 16:23:25.994484] Gerçek: 604.17 | Tahmin: 604.17 | MAE Hata: 0.0000
[2026-06-01 16:23:26.262912] Gerçek: 592.40 | Tahmin: 592.40 | MAE Hata: 0.0000
[2026-06-01 16:23:26.549446] Gerçek: 581.47 | Tahmin: 581.47 | MAE Hata: 0.0000
[2026-06-01 16:23:26.817365] Gerçek: 569.43 | Tahmin: 569.43 | MAE Hata: 0.0000
[2026-06-01 16:23:27.098202] Gerçek: 556.64 | Tahmin: 556.64 | MAE Hata: 0.0000
[2026-06-01 16:23:27.382781] Gerçek: 542.92 | Tahmin: 542.92 | MAE Hata: 0.0000
[2026-06-01 16:23:27.654783] Gerçek: 527.64 | Tahmin: 527.64 | MAE Hata: 0.0000
[2026-06-01 16:23:27.941149] Gerçek: 514.21 | Tahmin: 514.21 | MAE Hata: 0.0000
[2026-06-01 16:23:28.219496] Gerçek: 503.86 | Tahmin: 503.86 | MAE Hata: 0.0000
[2026-06-01 16:23:28.492810] Gerçek: 494.09 | Tahmin: 494.09 | MAE Hata: 0.0000
[2026-06-01 16:23:28.772923] Gerçek: 483.17 | Tahmin: 483.17 | MAE Hata: 0.0000
[2026-06-01 16:23:29.042838] Gerçek: 470.36 | Tahmin: 470.36 | MAE Hata: 0.0000
[2026-06-01 16:23:29.327244] Gerçek: 456.88 | Tahmin: 456.88 | MAE Hata: 0.0000
[2026-06-01 16:23:29.578465] Gerçek: 443.59 | Tahmin: 443.59 | MAE Hata: 0.0000
[2026-06-01 16:23:29.866858] Gerçek: 432.07 | Tahmin: 432.07 | MAE Hata: 0.0000
[2026-06-01 16:23:30.222659] Gerçek: 423.31 | Tahmin: 423.31 | MAE Hata: 0.0000
[2026-06-01 16:23:30.495455] Gerçek: 414.84 | Tahmin: 414.84 | MAE Hata: 0.0000
[2026-06-01 16:23:30.782718] Gerçek: 405.16 | Tahmin: 405.16 | MAE Hata: 0.0000
[2026-06-01 16:23:31.075151] Gerçek: 393.78 | Tahmin: 393.78 | MAE Hata: 0.0000
[2026-06-01 16:23:31.361288] Gerçek: 383.59 | Tahmin: 383.59 | MAE Hata: 0.0000
[2026-06-01 16:23:31.641306] Gerçek: 372.27 | Tahmin: 372.27 | MAE Hata: 0.0000
[2026-06-01 16:23:31.912953] Gerçek: 362.64 | Tahmin: 362.64 | MAE Hata: 0.0000
[2026-06-01 16:23:32.204937] Gerçek: 355.43 | Tahmin: 355.43 | MAE Hata: 0.0000
[2026-06-01 16:23:32.472718] Gerçek: 348.26 | Tahmin: 348.26 | MAE Hata: 0.0000
[2026-06-01 16:23:32.761118] Gerçek: 339.79 | Tahmin: 339.79 | MAE Hata: 0.0000
[2026-06-01 16:23:33.056441] Gerçek: 329.80 | Tahmin: 329.80 | MAE Hata: 0.0000
[2026-06-01 16:23:33.341630] Gerçek: 319.73 | Tahmin: 319.73 | MAE Hata: 0.0000
[2026-06-01 16:23:33.626735] Gerçek: 310.35 | Tahmin: 310.35 | MAE Hata: 0.0000
[2026-06-01 16:23:33.908118] Gerçek: 302.55 | Tahmin: 302.55 | MAE Hata: 0.0000
[2026-06-01 16:23:53.857098] Gerçek: 604.31 | Tahmin: 604.31 | MAE Hata: 0.0000
[2026-06-01 16:23:54.140334] Gerçek: 589.73 | Tahmin: 589.73 | MAE Hata: 0.0000
[2026-06-01 16:23:54.423129] Gerçek: 574.04 | Tahmin: 574.04 | MAE Hata: 0.0000
[2026-06-01 16:23:54.697784] Gerçek: 558.13 | Tahmin: 558.13 | MAE Hata: 0.0000
[2026-06-01 16:23:54.978706] Gerçek: 545.33 | Tahmin: 545.33 | MAE Hata: 0.0000
[2026-06-01 16:23:55.257804] Gerçek: 534.45 | Tahmin: 534.45 | MAE Hata: 0.0000
[2026-06-01 16:23:55.535544] Gerçek: 524.25 | Tahmin: 524.25 | MAE Hata: 0.0000
[2026-06-01 16:23:55.816076] Gerçek: 512.92 | Tahmin: 512.92 | MAE Hata: 0.0000
[2026-06-01 16:23:56.094589] Gerçek: 499.62 | Tahmin: 499.62 | MAE Hata: 0.0000
[2026-06-01 16:23:56.367697] Gerçek: 485.55 | Tahmin: 485.55 | MAE Hata: 0.0000
[2026-06-01 16:23:56.635298] Gerçek: 471.55 | Tahmin: 471.55 | MAE Hata: 0.0000
[2026-06-01 16:23:56.903532] Gerçek: 459.36 | Tahmin: 459.36 | MAE Hata: 0.0000
[2026-06-01 16:23:57.262823] Gerçek: 450.04 | Tahmin: 450.04 | MAE Hata: 0.0000
[2026-06-01 16:23:57.560867] Gerçek: 441.11 | Tahmin: 441.11 | MAE Hata: 0.0000
[2026-06-01 16:23:57.827144] Gerçek: 431.00 | Tahmin: 431.00 | MAE Hata: 0.0000
[2026-06-01 16:23:58.108147] Gerçek: 419.12 | Tahmin: 419.12 | MAE Hata: 0.0000
[2026-06-01 16:23:58.376164] Gerçek: 406.78 | Tahmin: 406.78 | MAE Hata: 0.0000
[2026-06-01 16:23:58.648053] Gerçek: 394.81 | Tahmin: 394.81 | MAE Hata: 0.0000
[2026-06-01 16:23:58.938730] Gerçek: 384.56 | Tahmin: 384.56 | MAE Hata: 0.0000
[2026-06-01 16:23:59.226724] Gerçek: 378.20 | Tahmin: 378.20 | MAE Hata: 0.0000
[2026-06-01 16:23:59.518819] Gerçek: 370.58 | Tahmin: 370.58 | MAE Hata: 0.0000
[2026-06-01 16:23:59.822900] Gerçek: 363.02 | Tahmin: 363.02 | MAE Hata: 0.0000
[2026-06-01 16:24:00.136206] Gerçek: 352.51 | Tahmin: 352.51 | MAE Hata: 0.0000
[2026-06-01 16:24:00.411407] Gerçek: 341.83 | Tahmin: 341.83 | MAE Hata: 0.0000
[2026-06-01 16:24:00.694722] Gerçek: 331.76 | Tahmin: 331.76 | MAE Hata: 0.0000
[2026-06-01 16:24:00.987315] Gerçek: 323.31 | Tahmin: 323.31 | MAE Hata: 0.0000
[2026-06-01 16:24:01.272858] Gerçek: 317.08 | Tahmin: 317.08 | MAE Hata: 0.0000
[2026-06-01 16:24:01.540333] Gerçek: 310.71 | Tahmin: 310.71 | MAE Hata: 0.0000
[2026-06-01 16:24:01.804523] Gerçek: 303.01 | Tahmin: 303.01 | MAE Hata: 0.0000
[2026-06-01 16:24:02.075887] Gerçek: 293.87 | Tahmin: 293.87 | MAE Hata: 0.0000
[2026-06-01 16:24:44.056577] Gerçek: 580.28 | Tahmin: 580.28 | MAE Hata: 0.0000
[2026-06-01 16:24:44.324580] Gerçek: 570.39 | Tahmin: 570.39 | MAE Hata: 0.0000
[2026-06-01 16:24:44.567736] Gerçek: 559.63 | Tahmin: 559.63 | MAE Hata: 0.0000
[2026-06-01 16:24:44.793037] Gerçek: 546.98 | Tahmin: 546.98 | MAE Hata: 0.0000
[2026-06-01 16:24:45.022986] Gerçek: 533.20 | Tahmin: 533.20 | MAE Hata: 0.0000
[2026-06-01 16:24:45.266122] Gerçek: 519.05 | Tahmin: 519.05 | MAE Hata: 0.0000
[2026-06-01 16:24:45.472848] Gerçek: 506.45 | Tahmin: 506.45 | MAE Hata: 0.0000
[2026-06-01 16:24:45.717654] Gerçek: 496.65 | Tahmin: 496.65 | MAE Hata: 0.0000
[2026-06-01 16:24:45.948361] Gerçek: 487.57 | Tahmin: 487.57 | MAE Hata: 0.0000
[2026-06-01 16:24:46.192808] Gerçek: 477.58 | Tahmin: 477.58 | MAE Hata: 0.0000
[2026-06-01 16:24:46.447990] Gerçek: 465.86 | Tahmin: 465.86 | MAE Hata: 0.0000
[2026-06-01 16:24:46.681353] Gerçek: 453.30 | Tahmin: 453.30 | MAE Hata: 0.0000
[2026-06-01 16:24:46.914016] Gerçek: 440.61 | Tahmin: 440.61 | MAE Hata: 0.0000
[2026-06-01 16:24:47.154710] Gerçek: 429.43 | Tahmin: 429.43 | MAE Hata: 0.0000
[2026-06-01 16:24:47.377859] Gerçek: 421.86 | Tahmin: 421.86 | MAE Hata: 0.0000
[2026-06-01 16:24:47.618712] Gerçek: 413.73 | Tahmin: 413.73 | MAE Hata: 0.0000
[2026-06-01 16:24:47.853270] Gerçek: 404.66 | Tahmin: 404.66 | MAE Hata: 0.0000
[2026-06-01 16:24:48.088243] Gerçek: 394.02 | Tahmin: 394.02 | MAE Hata: 0.0000
[2026-06-01 16:24:48.336947] Gerçek: 382.80 | Tahmin: 382.80 | MAE Hata: 0.0000
[2026-06-01 16:24:48.572813] Gerçek: 371.70 | Tahmin: 371.70 | MAE Hata: 0.0000
[2026-06-01 16:24:48.813148] Gerçek: 362.06 | Tahmin: 362.06 | MAE Hata: 0.0000
[2026-06-01 16:24:49.036945] Gerçek: 354.71 | Tahmin: 354.71 | MAE Hata: 0.0000
[2026-06-01 16:24:49.264652] Gerçek: 347.64 | Tahmin: 347.64 | MAE Hata: 0.0000
[2026-06-01 16:24:49.484710] Gerçek: 339.58 | Tahmin: 339.58 | MAE Hata: 0.0000
[2026-06-01 16:24:49.727456] Gerçek: 330.10 | Tahmin: 330.10 | MAE Hata: 0.0000
[2026-06-01 16:24:49.983091] Gerçek: 320.31 | Tahmin: 320.31 | MAE Hata: 0.0000
[2026-06-01 16:24:50.258144] Gerçek: 310.87 | Tahmin: 310.87 | MAE Hata: 0.0000
[2026-06-01 16:24:50.484766] Gerçek: 302.82 | Tahmin: 302.82 | MAE Hata: 0.0000
[2026-06-01 16:24:50.722892] Gerçek: 296.77 | Tahmin: 296.77 | MAE Hata: 0.0000
[2026-06-01 16:24:51.050379] Gerçek: 291.84 | Tahmin: 291.84 | MAE Hata: 0.0000
[2026-06-01 16:28:29.943094] Gerçek: 580.28 | Tahmin: 580.28 | MAE Hata: 0.0000
[2026-06-01 16:28:30.216419] Gerçek: 570.39 | Tahmin: 570.39 | MAE Hata: 0.0000
[2026-06-01 16:28:30.462885] Gerçek: 559.63 | Tahmin: 559.63 | MAE Hata: 0.0000
[2026-06-01 16:28:30.740048] Gerçek: 546.98 | Tahmin: 546.98 | MAE Hata: 0.0000
[2026-06-01 16:28:31.014979] Gerçek: 533.20 | Tahmin: 533.20 | MAE Hata: 0.0000
[2026-06-01 16:28:31.299712] Gerçek: 519.05 | Tahmin: 519.05 | MAE Hata: 0.0000
[2026-06-01 16:28:31.543015] Gerçek: 506.45 | Tahmin: 506.45 | MAE Hata: 0.0000
[2026-06-01 16:28:31.806075] Gerçek: 496.65 | Tahmin: 496.65 | MAE Hata: 0.0000
[2026-06-01 16:28:32.049120] Gerçek: 487.57 | Tahmin: 487.57 | MAE Hata: 0.0000
[2026-06-01 16:28:32.308630] Gerçek: 477.58 | Tahmin: 477.58 | MAE Hata: 0.0000
[2026-06-01 16:28:32.549932] Gerçek: 465.86 | Tahmin: 465.86 | MAE Hata: 0.0000
[2026-06-01 16:28:32.799132] Gerçek: 453.30 | Tahmin: 453.30 | MAE Hata: 0.0000
[2026-06-01 16:28:33.054560] Gerçek: 440.61 | Tahmin: 440.61 | MAE Hata: 0.0000
[2026-06-01 16:28:33.303149] Gerçek: 429.43 | Tahmin: 429.43 | MAE Hata: 0.0000
[2026-06-01 16:28:33.573020] Gerçek: 421.86 | Tahmin: 421.86 | MAE Hata: 0.0000
[2026-06-01 16:28:33.824655] Gerçek: 413.73 | Tahmin: 413.73 | MAE Hata: 0.0000
[2026-06-01 16:28:34.084147] Gerçek: 404.66 | Tahmin: 404.66 | MAE Hata: 0.0000
[2026-06-01 16:28:34.334693] Gerçek: 394.02 | Tahmin: 394.02 | MAE Hata: 0.0000
[2026-06-01 16:28:34.584048] Gerçek: 382.80 | Tahmin: 382.80 | MAE Hata: 0.0000
[2026-06-01 16:28:34.849887] Gerçek: 371.70 | Tahmin: 371.70 | MAE Hata: 0.0000
[2026-06-01 16:28:35.086807] Gerçek: 362.06 | Tahmin: 362.06 | MAE Hata: 0.0000
[2026-06-01 16:28:35.347741] Gerçek: 354.71 | Tahmin: 354.71 | MAE Hata: 0.0000
[2026-06-01 16:28:35.617600] Gerçek: 347.64 | Tahmin: 347.64 | MAE Hata: 0.0000
[2026-06-01 16:28:35.854779] Gerçek: 339.58 | Tahmin: 339.58 | MAE Hata: 0.0000
[2026-06-01 16:28:36.093966] Gerçek: 330.10 | Tahmin: 330.10 | MAE Hata: 0.0000
[2026-06-01 16:28:36.335507] Gerçek: 320.31 | Tahmin: 320.31 | MAE Hata: 0.0000
[2026-06-01 16:28:36.567582] Gerçek: 310.87 | Tahmin: 310.87 | MAE Hata: 0.0000
[2026-06-01 16:28:36.826998] Gerçek: 302.82 | Tahmin: 302.82 | MAE Hata: 0.0000
[2026-06-01 16:28:37.093013] Gerçek: 296.77 | Tahmin: 296.77 | MAE Hata: 0.0000
[2026-06-01 16:28:37.373281] Gerçek: 291.84 | Tahmin: 291.84 | MAE Hata: 0.0000
[2026-06-01 16:28:59.713147] Gerçek: 1971.16 | Tahmin: 1971.16 | MAE Hata: 0.0000
[2026-06-01 16:28:59.991524] Gerçek: 1937.56 | Tahmin: 1937.56 | MAE Hata: 0.0000
[2026-06-01 16:29:00.280634] Gerçek: 1901.03 | Tahmin: 1901.03 | MAE Hata: 0.0000
[2026-06-01 16:29:00.536831] Gerçek: 1858.04 | Tahmin: 1858.04 | MAE Hata: 0.0000
[2026-06-01 16:29:00.816689] Gerçek: 1811.25 | Tahmin: 1811.25 | MAE Hata: 0.0000
[2026-06-01 16:29:01.090872] Gerçek: 1763.16 | Tahmin: 1763.16 | MAE Hata: 0.0000
[2026-06-01 16:29:01.338059] Gerçek: 1720.36 | Tahmin: 1720.36 | MAE Hata: 0.0000
[2026-06-01 16:29:01.604814] Gerçek: 1687.09 | Tahmin: 1687.09 | MAE Hata: 0.0000
[2026-06-01 16:29:01.861634] Gerçek: 1656.22 | Tahmin: 1656.22 | MAE Hata: 0.0000
[2026-06-01 16:29:02.126748] Gerçek: 1622.31 | Tahmin: 1622.31 | MAE Hata: 0.0000
[2026-06-01 16:29:02.372733] Gerçek: 1582.51 | Tahmin: 1582.51 | MAE Hata: 0.0000
[2026-06-01 16:29:02.632964] Gerçek: 1539.82 | Tahmin: 1539.82 | MAE Hata: 0.0000
[2026-06-01 16:29:02.915255] Gerçek: 1496.71 | Tahmin: 1496.71 | MAE Hata: 0.0000
[2026-06-01 16:29:03.187990] Gerçek: 1458.75 | Tahmin: 1458.75 | MAE Hata: 0.0000
[2026-06-01 16:29:03.443084] Gerçek: 1433.03 | Tahmin: 1433.03 | MAE Hata: 0.0000
[2026-06-01 16:29:03.676671] Gerçek: 1405.40 | Tahmin: 1405.40 | MAE Hata: 0.0000
